Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
1,ENSMUSG00000000386.17,7454.089482786684,6.445467434414981,0.16609127400297613,0.0,0.0,Mx1,17857.0
2,ENSMUSG00000006818.6,14359.778923975871,4.914879500782753,0.057609351704597404,0.0,0.0,Sod2,20656.0
3,ENSMUSG00000008496.20,1789.9445984535187,2.7766347763392183,0.0721303490999145,0.0,0.0,Pou2f2,18987.0
4,ENSMUSG00000016496.8,11932.787793023,4.381176054432501,0.08163709537656996,0.0,0.0,Cd274,60533.0
5,ENSMUSG00000017493.13,3214.8795806342932,-3.9635875088667545,0.08976955483779898,0.0,0.0,Igfbp4,16010.0
6,ENSMUSG00000018927.4,23463.370117239636,-2.5721197755818515,0.062233631597241046,0.0,0.0,Ccl6,20305.0
7,ENSMUSG00000019302.17,17772.543343702353,-2.9520341299606527,0.07619704174362472,0.0,0.0,Atp6v0a1,11975.0
8,ENSMUSG00000020227.11,1879.7407717557353,3.3910955031005456,0.08505460323635533,0.0,0.0,Irak3,73914.0
9,ENSMUSG00000020638.9,14813.474345126413,6.971211689017067,0.18145508387094703,0.0,0.0,Cmpk2,22169.0
10,ENSMUSG00000021025.9,3410.42519893359,3.39423141559892,0.07016743710957268,0.0,0.0,Nfkbia,18035.0
11,ENSMUSG00000021322.9,5659.608194348999,4.344113448266024,0.06750777703810276,0.0,0.0,Aoah,27052.0
12,ENSMUSG00000021591.9,5362.04634901338,2.191277463579748,0.046820147517410135,0.0,0.0,Glrx,93692.0
13,ENSMUSG00000022148.17,12343.448986884401,1.9288642129104563,0.04661702259202023,0.0,0.0,Fyb,23880.0
14,ENSMUSG00000022216.18,4909.045535385555,2.4913786494169035,0.06488558942447996,0.0,0.0,Psme1,19186.0
15,ENSMUSG00000022885.17,2409.8637548859324,-3.5459499523429012,0.08402017682401733,0.0,0.0,St6gal1,20440.0
16,ENSMUSG00000024164.16,13218.664796980378,6.570841625564797,0.10627237372697851,0.0,0.0,C3,12266.0
17,ENSMUSG00000024338.16,5293.320718577515,2.6334471094461915,0.06685410969871716,0.0,0.0,Psmb8,16913.0
18,ENSMUSG00000024679.11,13377.76674684042,3.4377644898888695,0.05553450707190764,0.0,0.0,Ms4a6d,68774.0
19,ENSMUSG00000024789.14,4527.374825371393,2.8741863384231188,0.0604706241270414,0.0,0.0,Jak2,16452.0
20,ENSMUSG00000024953.18,13793.219633117707,3.104103695026097,0.07199092840978176,0.0,0.0,Prdx5,54683.0
21,ENSMUSG00000025591.7,1389.3298518012443,3.680767101818552,0.08415846629992284,0.0,0.0,Tma16,66282.0
22,ENSMUSG00000025810.10,8067.215033905477,-1.8240657325344842,0.03728303473056234,0.0,0.0,Nrp1,18186.0
23,ENSMUSG00000026031.16,7095.529088328129,2.7621681096071735,0.05015187682691786,0.0,0.0,Cflar,12633.0
24,ENSMUSG00000026112.8,6377.338690592665,1.46551457684978,0.03715372783418824,0.0,0.0,Coa5,76178.0
25,ENSMUSG00000026390.8,11900.136718732196,8.083219386453452,0.14089806348771938,0.0,0.0,Marco,17167.0
26,ENSMUSG00000026395.17,15224.556105522857,1.391599344869013,0.035466972312754134,0.0,0.0,Ptprc,19264.0
27,ENSMUSG00000026712.4,34172.779760380734,-4.180626153113283,0.06428191130692006,0.0,0.0,Mrc1,17533.0
28,ENSMUSG00000026773.20,4947.119002453288,2.7687420608100086,0.06185753490503145,0.0,0.0,Pfkfb3,170768.0
29,ENSMUSG00000027399.2,842.4752066942899,4.925330384258542,0.12131697622670996,0.0,0.0,Il1a,16175.0
30,ENSMUSG00000027808.9,14066.022676211314,2.0079761472417372,0.047478918696119136,0.0,0.0,Serp1,28146.0
31,ENSMUSG00000028037.14,2751.1181898128966,8.054456963566476,0.158997575981665,0.0,0.0,Ifi44,99899.0
